n,iteration,temps_execution
10,1,0.0
10,2,0.078125
10,3,0.0
10,4,0.0
10,5,0.03125
10,6,0.015625
10,7,0.015625
10,8,0.03125
10,9,0.0625
10,10,0.0
10,11,0.015625
10,12,0.03125
10,13,0.078125
10,14,0.046875
10,15,0.0625
10,16,0.0
10,17,0.0625
10,18,0.09375
10,19,0.078125
10,20,0.015625
10,21,0.015625
10,22,0.015625
10,23,0.0
10,24,0.203125
10,25,0.015625
10,26,0.015625
10,27,0.046875
10,28,0.03125
10,29,0.0625
10,30,0.015625
10,31,0.03125
10,32,0.0
10,33,0.03125
10,34,0.0
10,35,0.03125
10,36,0.015625
10,37,0.03125
10,38,0.015625
10,39,0.015625
10,40,0.0
10,41,0.0
10,42,0.015625
10,43,0.03125
10,44,0.03125
10,45,0.03125
10,46,0.015625
10,47,0.015625
10,48,0.015625
10,49,0.015625
10,50,0.0
10,51,0.015625
10,52,0.03125
10,53,0.015625
10,54,0.046875
10,55,0.03125
10,56,0.03125
10,57,0.015625
10,58,0.015625
10,59,0.015625
10,60,0.015625
10,61,0.03125
10,62,0.03125
10,63,0.03125
10,64,0.03125
10,65,0.0
10,66,0.0
10,67,0.03125
10,68,0.015625
10,69,0.0
10,70,0.015625
10,71,0.015625
10,72,0.0
10,73,0.0
10,74,0.0
10,75,0.015625
10,76,0.015625
10,77,0.0
10,78,0.0
10,79,0.0
10,80,0.0
10,81,0.03125
10,82,0.0
10,83,0.0
10,84,0.0
10,85,0.0
10,86,0.0
10,87,0.015625
10,88,0.0
10,89,0.015625
10,90,0.0
10,91,0.015625
10,92,0.0625
10,93,0.0
10,94,0.015625
10,95,0.0
10,96,0.0
10,97,0.015625
10,98,0.0625
10,99,0.078125
10,100,0.0
20,1,0.03125
20,2,0.109375
20,3,0.046875
20,4,0.03125
20,5,0.109375
20,6,0.09375
20,7,0.078125
20,8,0.046875
20,9,0.046875
20,10,0.03125
20,11,0.09375
20,12,0.171875
20,13,0.109375
20,14,0.078125
20,15,0.109375
20,16,0.03125
20,17,0.03125
20,18,0.078125
20,19,0.09375
20,20,0.046875
20,21,0.015625
20,22,0.078125
20,23,0.078125
20,24,0.171875
20,25,0.09375
20,26,0.078125
20,27,0.0
20,28,0.078125
20,29,0.1875
20,30,0.109375
20,31,0.078125
20,32,0.09375
20,33,0.03125
20,34,0.140625
20,35,0.03125
20,36,0.109375
20,37,0.109375
20,38,0.046875
20,39,0.125
20,40,0.09375
20,41,0.046875
20,42,0.140625
20,43,0.140625
20,44,0.203125
20,45,0.171875
20,46,0.03125
20,47,0.015625
20,48,0.03125
20,49,0.09375
20,50,0.0
20,51,0.046875
20,52,0.015625
20,53,0.03125
20,54,0.0625
20,55,0.046875
20,56,0.078125
20,57,0.078125
20,58,0.046875
20,59,0.0625
20,60,0.015625
20,61,0.046875
20,62,0.078125
20,63,0.03125
20,64,0.1875
20,65,0.0
20,66,0.0
20,67,0.015625
20,68,0.0
20,69,0.0
20,70,0.0
20,71,0.140625
20,72,0.015625
20,73,0.0
20,74,0.078125
20,75,0.078125
20,76,0.03125
20,77,0.0
20,78,0.015625
20,79,0.046875
20,80,0.0625
20,81,0.015625
20,82,0.0
20,83,0.015625
20,84,0.1875
20,85,0.15625
20,86,0.125
20,87,0.015625
20,88,0.03125
20,89,0.0625
20,90,0.203125
20,91,0.015625
20,92,0.0
20,93,0.03125
20,94,0.046875
20,95,0.015625
20,96,0.046875
20,97,0.046875
20,98,0.265625
20,99,0.078125
20,100,0.0
40,1,0.734375
40,2,0.484375
40,3,0.046875
40,4,0.28125
40,5,0.4375
40,6,0.015625
40,7,0.015625
40,8,0.03125
40,9,0.203125
40,10,0.171875
40,11,0.171875
40,12,0.015625
40,13,0.0
40,14,0.015625
40,15,0.171875
40,16,1.109375
40,17,0.390625
40,18,0.328125
40,19,0.40625
40,20,0.40625
40,21,0.203125
40,22,0.203125
40,23,0.046875
40,24,0.03125
40,25,0.09375
40,26,0.21875
40,27,0.21875
40,28,0.15625
40,29,0.375
40,30,0.3125
40,31,0.5625
40,32,0.125
40,33,0.421875
40,34,0.28125
40,35,0.484375
40,36,0.171875
40,37,0.5
40,38,0.21875
40,39,0.328125
40,40,0.234375
40,41,0.015625
40,42,0.1875
40,43,0.21875
40,44,0.171875
40,45,0.59375
40,46,0.078125
40,47,0.21875
40,48,0.265625
40,49,0.484375
40,50,0.453125
40,51,0.109375
40,52,0.171875
40,53,0.0625
40,54,0.03125
40,55,0.46875
40,56,0.3125
40,57,0.265625
40,58,0.234375
40,59,0.3125
40,60,0.21875
40,61,0.34375
40,62,0.0
40,63,0.078125
40,64,0.0625
40,65,0.015625
40,66,0.203125
40,67,0.25
40,68,0.265625
40,69,0.421875
40,70,0.25
40,71,0.3125
40,72,0.109375
40,73,0.21875
40,74,0.3125
40,75,0.296875
40,76,0.375
40,77,0.1875
40,78,0.0625
40,79,0.125
40,80,0.03125
40,81,0.0
40,82,0.34375
40,83,0.125
40,84,0.0625
40,85,0.234375
40,86,0.015625
40,87,0.0
40,88,0.09375
40,89,0.078125
40,90,0.09375
40,91,0.375
40,92,0.25
40,93,0.21875
40,94,0.234375
40,95,0.109375
40,96,0.34375
40,97,0.328125
40,98,0.25
40,99,0.21875
40,100,0.34375
