n,iteration,temps_execution
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.015625
10,7,0.0
10,8,0.015625
10,9,0.0
10,10,0.0
10,11,0.0
10,12,0.015625
10,13,0.0625
10,14,0.015625
10,15,0.0
10,16,0.03125
10,17,0.0
10,18,0.015625
10,19,0.0
10,20,0.0
10,21,0.0
10,22,0.0
10,23,0.0
10,24,0.03125
10,25,0.0
10,26,0.015625
10,27,0.0
10,28,0.0
10,29,0.0
10,30,0.015625
10,31,0.0
10,32,0.0
10,33,0.015625
10,34,0.0
10,35,0.0
10,36,0.0
10,37,0.015625
10,38,0.0
10,39,0.0
10,40,0.0
10,41,0.0
10,42,0.0
10,43,0.0
10,44,0.0
10,45,0.015625
10,46,0.0
10,47,0.0
10,48,0.0
10,49,0.0
10,50,0.015625
10,51,0.0
10,52,0.0
10,53,0.015625
10,54,0.0
10,55,0.0
10,56,0.0
10,57,0.0
10,58,0.0
10,59,0.0
10,60,0.0
10,61,0.015625
10,62,0.0
10,63,0.0
10,64,0.015625
10,65,0.015625
10,66,0.0
10,67,0.0
10,68,0.0
10,69,0.0
10,70,0.0
10,71,0.0
10,72,0.015625
10,73,0.0
10,74,0.0
10,75,0.03125
10,76,0.0
10,77,0.0
10,78,0.0
10,79,0.0
10,80,0.0
10,81,0.0
10,82,0.0
10,83,0.0
10,84,0.0
10,85,0.0
10,86,0.0
10,87,0.0
10,88,0.0
10,89,0.0
10,90,0.0
10,91,0.0
10,92,0.0
10,93,0.0
10,94,0.0
10,95,0.0
10,96,0.0
10,97,0.0
10,98,0.0
10,99,0.0
10,100,0.015625
20,1,0.09375
20,2,0.203125
20,3,0.21875
20,4,0.046875
20,5,0.15625
20,6,0.25
20,7,0.015625
20,8,0.15625
20,9,0.078125
20,10,0.328125
20,11,0.3125
20,12,0.25
20,13,0.375
20,14,0.015625
20,15,0.0
20,16,0.03125
20,17,0.0
20,18,0.171875
20,19,0.0
20,20,0.015625
20,21,0.21875
20,22,0.015625
20,23,0.21875
20,24,0.0
20,25,0.015625
20,26,0.015625
20,27,0.015625
20,28,0.09375
20,29,0.046875
20,30,0.21875
20,31,0.15625
20,32,0.046875
20,33,0.125
20,34,0.265625
20,35,0.03125
20,36,0.015625
20,37,0.140625
20,38,0.0625
20,39,0.03125
20,40,0.203125
20,41,0.03125
20,42,0.046875
20,43,0.03125
20,44,0.40625
20,45,0.203125
20,46,0.0
20,47,0.015625
20,48,0.046875
20,49,0.078125
20,50,0.078125
20,51,0.109375
20,52,0.109375
20,53,0.09375
20,54,0.0
20,55,0.0625
20,56,0.0
20,57,0.015625
20,58,0.0625
20,59,0.015625
20,60,0.21875
20,61,0.046875
20,62,0.0
20,63,0.0625
20,64,0.03125
20,65,0.0
20,66,0.0
20,67,0.0
20,68,0.0
20,69,0.0625
20,70,0.0
20,71,0.03125
20,72,0.0
20,73,0.0625
20,74,0.0
20,75,0.046875
20,76,0.015625
20,77,0.03125
20,78,0.0
20,79,0.015625
20,80,0.015625
20,81,0.0
20,82,0.0
20,83,0.0
20,84,0.265625
20,85,0.078125
20,86,0.109375
20,87,0.09375
20,88,0.046875
20,89,0.203125
20,90,0.125
20,91,0.015625
20,92,0.0625
20,93,0.0
20,94,0.046875
20,95,0.015625
20,96,0.0
20,97,0.421875
20,98,0.1875
20,99,0.0
20,100,0.0
40,1,0.75
40,2,0.1875
40,3,0.15625
40,4,0.40625
40,5,2.140625
40,6,0.03125
40,7,0.03125
40,8,2.234375
40,9,2.828125
40,10,0.359375
40,11,1.546875
40,12,1.453125
40,13,0.9375
40,14,0.625
40,15,8.125
40,16,0.578125
40,17,9.328125
40,18,0.15625
40,19,2.84375
40,20,0.953125
40,21,0.1875
40,22,0.15625
40,23,1.125
40,24,0.0
40,25,3.703125
40,26,2.765625
40,27,2.25
40,28,3.75
40,29,0.515625
40,30,0.390625
40,31,6.078125
40,32,0.296875
40,33,4.75
40,34,0.390625
40,35,0.265625
40,36,0.28125
40,37,0.453125
40,38,4.5625
40,39,2.0625
40,40,3.125
40,41,4.15625
40,42,6.1875
40,43,3.265625
40,44,0.125
40,45,1.359375
40,46,0.34375
40,47,5.65625
40,48,0.21875
40,49,5.84375
40,50,7.90625
40,51,2.203125
40,52,0.078125
40,53,0.859375
40,54,0.328125
40,55,0.515625
40,56,0.40625
40,57,1.78125
40,58,3.890625
40,59,0.21875
40,60,0.28125
40,61,4.1875
40,62,0.09375
40,63,0.109375
40,64,1.046875
40,65,2.984375
40,66,0.265625
40,67,4.46875
40,68,0.359375
40,69,5.640625
40,70,0.25
40,71,0.203125
40,72,4.203125
40,73,0.3125
40,74,0.234375
40,75,5.515625
40,76,0.3125
40,77,4.28125
40,78,0.015625
40,79,1.15625
40,80,0.890625
40,81,0.046875
40,82,0.0625
40,83,0.03125
40,84,7.015625
40,85,4.53125
40,86,0.046875
40,87,0.046875
40,88,0.96875
40,89,0.046875
40,90,3.296875
40,91,0.265625
40,92,6.390625
40,93,0.296875
40,94,4.578125
40,95,0.546875
40,96,0.4375
40,97,0.265625
40,98,2.953125
40,99,0.34375
40,100,0.390625
